,osmid,y,x,highway,street_count,ref,geometry
2268,42443058,40.7861808,-73.9457073,traffic_signals,4,,POINT (-73.9457073 40.7861808)
2269,42443061,40.7868144,-73.9452422,traffic_signals,3,,POINT (-73.9452422 40.7868144)
2270,42443066,40.7899429,-73.9429284,traffic_signals,4,,POINT (-73.9429284 40.7899429)
2271,42443068,40.7906269,-73.9424329,traffic_signals,4,,POINT (-73.9424329 40.7906269)
2272,42443072,40.7925561,-73.9410289,traffic_signals,4,,POINT (-73.9410289 40.7925561)
2273,42443077,40.7938155,-73.9401082,traffic_signals,4,,POINT (-73.9401082 40.7938155)
2274,42443078,40.7944598,-73.9396353,traffic_signals,4,,POINT (-73.9396353 40.7944598)
2275,42443081,40.7950746,-73.9391862,traffic_signals,4,,POINT (-73.9391862 40.7950746)
2276,42443085,40.7970162,-73.9377697,traffic_signals,4,,POINT (-73.9377697 40.7970162)
2277,42443088,40.7976795,-73.9372797,traffic_signals,4,,POINT (-73.9372797 40.7976795)
2278,42443092,40.7995598,-73.9359116,traffic_signals,4,,POINT (-73.9359116 40.7995598)
2279,42443096,40.8001963,-73.9354447,traffic_signals,4,,POINT (-73.9354447 40.8001963)
2280,42443099,40.8008177,-73.934993,traffic_signals,4,,POINT (-73.934993 40.8008177)
2281,42443105,40.8014525,-73.9345304,traffic_signals,4,,POINT (-73.9345304 40.8014525)
2282,42443116,40.8027699,-73.9335746,traffic_signals,4,,POINT (-73.9335746 40.8027699)
2283,42443118,40.8040729,-73.9326682,traffic_signals,4,,POINT (-73.9326682 40.8040729)
2284,42443119,40.8045404,-73.9323176,traffic_signals,3,,POINT (-73.9323176 40.8045404)
2285,42443127,40.7237364,-73.991029,traffic_signals,4,,POINT (-73.991029 40.7237364)
2286,42443181,40.8155459,-73.9597048,stop,3,,POINT (-73.9597048 40.8155459)
2287,42443263,40.7893529,-73.9570893,,3,,POINT (-73.9570893 40.7893529)
2288,42443264,40.7885854,-73.9552649,traffic_signals,4,,POINT (-73.9552649 40.7885854)
2289,42443268,40.7879006,-73.9557669,traffic_signals,4,,POINT (-73.9557669 40.7879006)
2290,42443280,40.783258,-73.9745509,traffic_signals,4,,POINT (-73.9745509 40.783258)
2291,42443296,40.7298431,-73.9896929,,3,,POINT (-73.9896929 40.7298431)
