,u,v,key,osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,access,bridge,tunnel,width,junction
9286,5145323793,42440754,0,25166922,East 14th Street,unclassified,25 mph,False,True,362.076,"LINESTRING (-73.9720829 40.7267944, -73.9720755 40.7268775, -73.9720902 40.7269201, -73.9721243 40.7269509, -73.9748119 40.7280858, -73.9755502 40.7283975, -73.9755794 40.7284098, -73.9756808 40.7284592)",,,no,,,,
9287,5145330172,42437830,0,5672715,East 16th Street,unclassified,25 mph,False,True,122.61699999999999,"LINESTRING (-73.9734571 40.7292368, -73.9736006 40.7292969, -73.9740105 40.7294689, -73.9746202 40.7297275, -73.9747295 40.7297718)",2,,,,,,
9288,5145531517,5137978709,0,587355679,Avenue C,primary,25 mph,True,False,130.365,"LINESTRING (-73.9739988 40.7312335, -73.9742311 40.7321626, -73.9743536 40.7323695)",2,,,,,,
9289,5151708184,3891963915,0,433442259,6th Avenue,primary,25 mph,True,False,30.739,"LINESTRING (-74.0031249 40.7277347, -74.0030167 40.7279987)",4,,,,,,
9290,5151708184,42430468,0,5669925,Congress Street,residential,25 mph,True,False,73.89699999999999,"LINESTRING (-74.0031249 40.7277347, -74.0031378 40.7279462, -74.0030933 40.7282798, -74.0030875 40.7283268, -74.0030772 40.7283967)",1,,,,,,
9291,5159433792,42432302,0,194923786,Spring Street,residential,25 mph,True,False,77.048,"LINESTRING (-73.9962656 40.7219524, -73.9962104 40.7219299, -73.9955269 40.7216513, -73.9954604 40.7216242)",,,,,,,
9292,5159433792,42435477,0,847931436,Mulberry Street,residential,25 mph,True,False,164.274,"LINESTRING (-73.9962656 40.7219524, -73.9962432 40.7220093, -73.9957276 40.7233171, -73.9957075 40.7233679)",,,,,,,
9293,5161246301,42437580,0,"[675967321, 420355081]",Bowery,primary,25 mph,False,True,78.198,"LINESTRING (-73.9958234 40.7166441, -73.9954597 40.717225, -73.9954278 40.7172802)",,,,,,,
9294,5161246301,5161246307,0,464963297,Bowery,primary,25 mph,False,False,49.559000000000005,"LINESTRING (-73.9958234 40.7166441, -73.9960106 40.7163401, -73.9960723 40.7162403)",,,,,,,
9295,5161246307,1773063789,0,414893144,Bowery,primary,25 mph,True,False,147.664,"LINESTRING (-73.9960723 40.7162403, -73.9962277 40.7160966, -73.9968303 40.7151118, -73.9968638 40.7150612)",2,,,,,,
